id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	google_product_category	item_group_id	color	size	gender	age_group
98650bd8-5981-4055-8e14-5e144a04a23a	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_da7933887ca746fca2402f2d6a1f4e9f~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid White Blend	L	female	adult
87cbe4d9-ea49-44c4-8d69-89613467912a	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_fc688b58d43d44bd8b8fadcef7acc6bc~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Athletic Heather	XS	female	adult
16fbdc85-a91a-4242-bfc7-865d2f2b609c	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_da7933887ca746fca2402f2d6a1f4e9f~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid White Blend	XS	female	adult
600b3383-f0c6-4c7c-b6c4-06daf04567a8	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_fc688b58d43d44bd8b8fadcef7acc6bc~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Athletic Heather	S	female	adult
e716c476-0cd5-436e-83af-a91fe750a348	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_da7933887ca746fca2402f2d6a1f4e9f~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid White Blend	S	female	adult
cd41d9db-985b-4485-bafe-85f6b31549dd	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_fc688b58d43d44bd8b8fadcef7acc6bc~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Athletic Heather	M	female	adult
f4c979cb-9e71-4318-b0b2-1b88e15bb7fb	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_da7933887ca746fca2402f2d6a1f4e9f~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid White Blend	M	female	adult
05dea700-5189-4966-ace2-a19149337750	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_fc688b58d43d44bd8b8fadcef7acc6bc~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Athletic Heather	L	female	adult
1befc72b-3922-4fb9-930a-362e69e680cc	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_fc688b58d43d44bd8b8fadcef7acc6bc~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Athletic Heather	XL	female	adult
4bbcafc0-563d-4d7c-86ed-0e79e532cbac	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_da7933887ca746fca2402f2d6a1f4e9f~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid White Blend	XL	female	adult
e690cbdb-bf66-454c-a5a7-4ee3ad1b018a	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_fc688b58d43d44bd8b8fadcef7acc6bc~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Athletic Heather	2XL	female	adult
4f5b20d5-0fde-46e3-b032-cfddc79704e3	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_da7933887ca746fca2402f2d6a1f4e9f~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid White Blend	2XL	female	adult
ad090603-a1e3-48f3-b428-a5a07c339bcc	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_dcfce54211a64ad28844c0df718f2761~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid Baby Blue Blend	XS	female	adult
a18e7199-807f-4c48-813d-f70543902073	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_dcfce54211a64ad28844c0df718f2761~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid Baby Blue Blend	S	female	adult
75ec991e-5d7a-49e5-9a12-a0effe5c93b1	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_dcfce54211a64ad28844c0df718f2761~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid Baby Blue Blend	M	female	adult
02a94ed9-45e7-46f8-b1e8-bc2857ad9980	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_dcfce54211a64ad28844c0df718f2761~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid Baby Blue Blend	L	female	adult
176ad887-f57a-4fc3-9d31-46d2afc196b7	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_dcfce54211a64ad28844c0df718f2761~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid Baby Blue Blend	XL	female	adult
a0c76221-7b5d-4696-bc3d-ee181b61f811	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	"Skull Floral Tank — ""Lake Erie Loot Crew"" Women's Spaghetti Strap Tank"	https://www.lakeerieclothing.com/product-page/skull-floral-tank-make-the-most-of-every-moment-womens-spaghetti-strap-tank	https://static.wixstatic.com/media/e35453_dcfce54211a64ad28844c0df718f2761~mv2.jpeg		in stock	28.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	2d50ecb4-8320-40e2-ab5c-17883fe08b4c	Solid Baby Blue Blend	2XL	female	adult
ef7bf7c2-8e5b-4ad3-88c8-7933b9ebd836	Lake Erie Bow & Anchor T	Lake Erie Bow & Anchor T	https://www.lakeerieclothing.com/product-page/lake-erie-bow-anchor-t	https://static.wixstatic.com/media/e35453_75fe9c331d1b401cb1e4ad85bda72669~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing	507c8869-3823-474b-9a09-ef941c4fbb7c	See product page	YS	female	kids
d22506de-2a60-42a4-b09a-48dafcd45234	Lake Erie Bow & Anchor T	Lake Erie Bow & Anchor T	https://www.lakeerieclothing.com/product-page/lake-erie-bow-anchor-t	https://static.wixstatic.com/media/e35453_75fe9c331d1b401cb1e4ad85bda72669~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing	507c8869-3823-474b-9a09-ef941c4fbb7c	See product page	YL	female	kids
b7ad47b6-afe5-495a-81eb-50471ad52f9b	Lake Erie Bow & Anchor T	Lake Erie Bow & Anchor T	https://www.lakeerieclothing.com/product-page/lake-erie-bow-anchor-t	https://static.wixstatic.com/media/e35453_75fe9c331d1b401cb1e4ad85bda72669~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing	507c8869-3823-474b-9a09-ef941c4fbb7c	See product page	Small	female	adult
8513339a-a6a1-4042-8c37-65f3a17036a6	Lake Erie Bow & Anchor T	Lake Erie Bow & Anchor T	https://www.lakeerieclothing.com/product-page/lake-erie-bow-anchor-t	https://static.wixstatic.com/media/e35453_75fe9c331d1b401cb1e4ad85bda72669~mv2.png		in stock	30.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing	507c8869-3823-474b-9a09-ef941c4fbb7c	See product page	Medium	female	adult
